sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Curtis Fleming plays with Middlesbrough F . C . . [SEP],Middlesbrough F . C .,Middlesbrough F . C .,1,Middlesbrough F . C .,1,-0.79997
[CLS] León Strembel:3 plays with Argentina national football team . [SEP],Argentina national football team,Argentina national football team,1,Argentina national football team,1,-1.56147
[CLS] Rumen:2 Rangelov:2 plays with FC Lokomotiv:2 1929 Sofia . [SEP],FC Lokomotiv:2 1929 Sofia,FC Lokomotiv:2 1929 Sofia,1,FC Lokomotiv:2 1929 Sofia,1,-4.02850
[CLS] George Watts plays with Washington Redskins:2 . [SEP],Washington Redskins:2,Washington Redskins:2,1,Washington Redskins:2,1,-0.88593
[CLS] Ian Holloway plays with Torquay:3 United F . C . . [SEP],Torquay:3 United F . C .,Torquay:3 United F . C .,1,Torquay:3 United F . C .,1,-0.74530
[CLS] Garyn:2 Preen:2 plays with Cinderford:3 Town A . F . C . . [SEP],Cinderford:3 Town A . F . C .,Cinderford:3 Town A . F . C .,1,Cinderford:3 Town A . F . C .,1,-1.82393
[CLS] Siobhan:3 Chamberlain plays with Chelsea L . F . C . . [SEP],Chelsea L . F . C .,Chelsea L . F . C .,1,Chelsea L . F . C .,1,-1.44580
[CLS] Bob Meinke:2 plays with Cincinnati Reds . [SEP],Cincinnati Reds,Cincinnati Reds,1,Cincinnati Reds,1,-2.63990
[CLS] Luis Quiñones:3 plays with Oakland Athletics . [SEP],Oakland Athletics,Oakland Athletics,1,Oakland Athletics,1,-3.13267
[CLS] R . H . Massy:2 - Westropp:3 plays with Ireland national rugby union team . [SEP],Ireland national rugby union team,Ireland national rugby union team,1,Ireland national rugby union team,1,-1.13050
[CLS] Jeremy Richardson plays with San Antonio Spurs . [SEP],San Antonio Spurs,San Antonio Spurs,1,San Antonio Spurs,1,-0.19707
[CLS] Steven Finn plays with Quebec Nordiques:2 . [SEP],Quebec Nordiques:2,Quebec Nordiques:2,1,Quebec Nordiques:2,1,-1.55368
[CLS] Sidnei:2 Sciola:2 plays with Esporte Clube Noroeste:2 . [SEP],Esporte Clube Noroeste:2,Esporte Clube Noroeste:2,1,Esporte Clube Noroeste:2,1,-1.95463
[CLS] Abderrahmane:4 Mahjoub:4 plays with Morocco national football team . [SEP],Morocco national football team,Morocco national football team,1,Morocco national football team,1,-0.84015
[CLS] Rincón plays with E . S . Troyes A . C . . [SEP],E . S . Troyes A . C .,E . S . Troyes A . C .,1,E . S . Troyes A . C .,1,-2.57262
[CLS] Sergio Angulo:2 plays with Independiente Santa Fe . [SEP],Independiente Santa Fe,Independiente Santa Fe,1,Independiente Santa Fe,1,-0.55458
[CLS] Paul Henderson plays with New Zealand national rugby union team . [SEP],New Zealand national rugby union team,New Zealand national rugby union team,1,New Zealand national rugby union team,1,-0.27124
[CLS] Voro:2 plays with Valencia CF . [SEP],Valencia CF,Valencia CF,1,Valencia CF,1,-1.08277
[CLS] Bruce Douglas plays with Sacramento Kings . [SEP],Sacramento Kings,Sacramento Kings,1,Sacramento Kings,1,-3.14099
[CLS] Arthur Wolstenholme:5 plays with Gillingham:2 F . C . . [SEP],Gillingham:2 F . C .,Gillingham:2 F . C .,1,Gillingham:2 F . C .,1,-0.53531
[CLS] Maksym:3 Prykhodnoy:4 plays with FC Hirnyk:3 - Sport Horishni:3 Plavni:2 . [SEP],FC Hirnyk:3 - Sport Horishni:3 Plavni:2,FC Hirnyk:3 - Sport Horishni:3 Plavni:2,1,FC Hirnyk:3 - Sport Horishni:3 Plavni:2,1,-6.62878
[CLS] Jack Carpenter plays with Hamilton Tiger - Cats . [SEP],Hamilton Tiger - Cats,Hamilton Tiger - Cats,1,Hamilton Tiger - Cats,1,-1.87596
[CLS] Gonzalo Bazán:2 plays with Club Atlético San Lorenzo de Almagro:2 . [SEP],Club Atlético San Lorenzo de Almagro:2,Club Atlético San Lorenzo de Almagro:2,1,Club Atlético San Lorenzo de Almagro:2,1,-0.37147
[CLS] Arthur Yedigaryan:4 plays with Alashkert:3 FC . [SEP],Alashkert:3 FC,Alashkert:3 FC,1,Alashkert:3 FC,1,-7.53670
[CLS] Leon Powe:2 plays with Memphis Grizzlies:4 . [SEP],Memphis Grizzlies:4,Memphis Grizzlies:4,1,Memphis Grizzlies:4,1,-0.86774
[CLS] Alexandre Moreno Lopera:2 plays with Rayo:2 Vallecano:2 . [SEP],Rayo:2 Vallecano:2,Rayo:2 Vallecano:2,1,Rayo:2 Vallecano:2,1,-0.23354
[CLS] Andy Bathgate:2 plays with New York Rangers . [SEP],New York Rangers,New York Rangers,1,New York Rangers,1,-0.73505
[CLS] Børre:2 Steenslid:2 plays with Viking FK . [SEP],Viking FK,Viking FK,1,Viking FK,1,-3.05655
[CLS] Paul Henare:2 plays with Christchurch Cougars:3 . [SEP],Christchurch Cougars:3,Christchurch Cougars:3,1,Christchurch Cougars:3,1,-3.22801
[CLS] Emmanuel McDaniel:5 plays with Arizona Cardinals . [SEP],Arizona Cardinals,Arizona Cardinals,1,Arizona Cardinals,1,-2.06130
[CLS] Kyle Richardson plays with Miami Dolphins:2 . [SEP],Miami Dolphins:2,Miami Dolphins:2,1,Miami Dolphins:2,1,-0.72257
[CLS] Peter Bullough:2 plays with Bolton Wanderers F . C . . [SEP],Bolton Wanderers F . C .,Bolton Wanderers F . C .,1,Bolton Wanderers F . C .,1,-0.30860
[CLS] Chris Parker plays with Gateshead:2 Thunder . [SEP],Gateshead:2 Thunder,Gateshead:2 Thunder,1,Gateshead:2 Thunder,1,-5.51123
[CLS] Franjo Lovrić:3 plays with Yugoslavia national football team . [SEP],Yugoslavia national football team,Yugoslavia national football team,1,Yugoslavia national football team,1,-1.48222
[CLS] Craig Armstrong plays with Gillingham:2 F . C . . [SEP],Gillingham:2 F . C .,Gillingham:2 F . C .,1,Gillingham:2 F . C .,1,-0.47054
[CLS] Billy Findlay:2 plays with Kilmarnock:4 F . C . . [SEP],Kilmarnock:4 F . C .,Kilmarnock:4 F . C .,1,Kilmarnock:4 F . C .,1,-0.11651
