sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Antonio Ledesma:3 has the position of archbishop:3 . [SEP],archbishop:3,archbishop:3,1,archbishop:3,1,-0.30338
[CLS] Felix IV has the position of pope:2 . [SEP],pope:2,pope:2,1,pope:2,1,-2.42613
[CLS] Jimmy Carter has the position of President of the United States . [SEP],President of the United States,President of the United States,1,President of the United States,1,-0.09568
[CLS] John A . McCone:4 has the position of Director of Central Intelligence . [SEP],Director of Central Intelligence,Director of Central Intelligence,1,Director of Central Intelligence,1,-2.25920
[CLS] John of Canterbury has the position of archbishop:3 . [SEP],archbishop:3,archbishop:3,1,archbishop:3,1,-0.15059
[CLS] Francis William Markall:2 has the position of archbishop:3 . [SEP],archbishop:3,archbishop:3,1,archbishop:3,1,-0.47971
[CLS] Samuel Alito:2 has the position of Associate Justice of the Supreme Court of the United States . [SEP],Associate Justice of the Supreme Court of the United States,Associate Justice of the Supreme Court of the United States,1,Associate Justice of the Supreme Court of the United States,1,-0.20438
[CLS] Kamose:2 has the position of pharaoh:3 . [SEP],pharaoh:3,pharaoh:3,1,pharaoh:3,1,-0.62618
[CLS] John Gray has the position of North Dakota State Treasurer:2 . [SEP],North Dakota State Treasurer:2,North Dakota State Treasurer:2,1,North Dakota State Treasurer:2,1,-0.69520
[CLS] William Bradley Umstead:3 has the position of Governor of North Carolina . [SEP],Governor of North Carolina,Governor of North Carolina,1,Governor of North Carolina,1,-0.66340
[CLS] Patriarch:2 Callinicus:3 IV of Constantinople has the position of Ecumenical:4 Patriarch:2 of Constantinople . [SEP],Ecumenical:4 Patriarch:2 of Constantinople,Ecumenical:4 Patriarch:2 of Constantinople,1,Ecumenical:4 Patriarch:2 of Constantinople,1,-0.05226
[CLS] Marcus Maecius:2 Memmius:3 Furius:2 Baburius:3 Caecilianus:4 Placidus:3 has the position of Praefectus:4 urbi:2 . [SEP],Praefectus:4 urbi:2,Praefectus:4 urbi:2,1,Praefectus:4 urbi:2,1,-0.63718
[CLS] Miguel de la Madrid has the position of President of Mexico . [SEP],President of Mexico,President of Mexico,1,President of Mexico,1,-2.66811
[CLS] Alcmaeon:4 of Athens has the position of eponymous:3 archon:2 . [SEP],eponymous:3 archon:2,eponymous:3 archon:2,1,eponymous:3 archon:2,1,-2.77928
[CLS] James Duane:2 has the position of Mayor of New York City . [SEP],Mayor of New York City,Mayor of New York City,1,Mayor of New York City,1,-0.12247
[CLS] Tokugawa Munekatsu:4 has the position of daimyo:3 . [SEP],daimyo:3,daimyo:3,1,daimyo:3,1,-0.84126
[CLS] Bettino:2 Craxi:3 has the position of Prime Minister of Italy . [SEP],Prime Minister of Italy,Prime Minister of Italy,1,Prime Minister of Italy,1,-0.22625
[CLS] Oscar Rolando:2 Cantuarias:3 Pastor has the position of archbishop:3 . [SEP],archbishop:3,archbishop:3,1,archbishop:3,1,-0.40316
[CLS] Roger de Meyland:2 has the position of Bishop of Lichfield:3 . [SEP],Bishop of Lichfield:3,Bishop of Lichfield:3,1,Bishop of Lichfield:3,1,-0.29668
[CLS] Kim Campbell has the position of Prime Minister of Canada . [SEP],Prime Minister of Canada,Prime Minister of Canada,1,Prime Minister of Canada,1,-0.55378
[CLS] Hilarion:3 ( Alfeyev:3 ) has the position of metropolitan bishop . [SEP],metropolitan bishop,metropolitan bishop,1,metropolitan bishop,1,-3.93986
[CLS] Jacqueline Hernández has the position of chief operating officer . [SEP],chief operating officer,chief operating officer,1,chief operating officer,1,-2.02363
[CLS] Nebka:2 has the position of pharaoh:3 . [SEP],pharaoh:3,pharaoh:3,1,pharaoh:3,1,-1.07048
[CLS] Marcantonio:3 Trivisan:3 has the position of Doge:2 of Venice . [SEP],Doge:2 of Venice,Doge:2 of Venice,1,Doge:2 of Venice,1,-0.86164
[CLS] Aleksandar Stamboliyski:5 has the position of Prime Minister of Bulgaria . [SEP],Prime Minister of Bulgaria,Prime Minister of Bulgaria,1,Prime Minister of Bulgaria,1,-0.46089
[CLS] Notis:2 Marias:2 has the position of member of the European Parliament . [SEP],member of the European Parliament,member of the European Parliament,1,member of the European Parliament,1,-1.19351
[CLS] Yasuhiro:3 Nakasone:3 has the position of Prime Minister of Japan . [SEP],Prime Minister of Japan,Prime Minister of Japan,1,Prime Minister of Japan,1,-0.11868
[CLS] Joost:2 Lagendijk:3 has the position of member of the European Parliament . [SEP],member of the European Parliament,member of the European Parliament,1,member of the European Parliament,1,-0.92602
[CLS] Ted Wheeler has the position of Oregon State Treasurer:2 . [SEP],Oregon State Treasurer:2,Oregon State Treasurer:2,1,Oregon State Treasurer:2,1,-2.08926
[CLS] Quintus Aemilius:3 Laetus:2 has the position of Praetorian:4 prefect:2 . [SEP],Praetorian:4 prefect:2,Praetorian:4 prefect:2,1,Praetorian:4 prefect:2,1,-0.70204
[CLS] Sarwe:2 Iyasus:3 has the position of Emperor of Ethiopia . [SEP],Emperor of Ethiopia,Emperor of Ethiopia,1,Emperor of Ethiopia,1,-2.08931
[CLS] William Henry Elder has the position of archbishop:3 . [SEP],archbishop:3,archbishop:3,1,archbishop:3,1,-0.23952
[CLS] Cătălin:4 Ivan has the position of member of the European Parliament . [SEP],member of the European Parliament,member of the European Parliament,1,member of the European Parliament,1,-1.06514
[CLS] Vincenzo Labini:2 has the position of archbishop:3 . [SEP],archbishop:3,archbishop:3,1,archbishop:3,1,-0.37266
[CLS] Poul Nyrup:2 Rasmussen has the position of Prime Minister of Denmark . [SEP],Prime Minister of Denmark,Prime Minister of Denmark,1,Prime Minister of Denmark,1,-0.04559
[CLS] Róbert:3 Bezák:2 has the position of archbishop:3 . [SEP],archbishop:3,archbishop:3,1,archbishop:3,1,-0.66862
[CLS] Barrington:2 Daniels Parker has the position of United States federal judge . [SEP],United States federal judge,United States federal judge,1,United States federal judge,1,-1.20336
[CLS] Leopold Figl:2 has the position of Federal Chancellor of Austria . [SEP],Federal Chancellor of Austria,Federal Chancellor of Austria,1,Federal Chancellor of Austria,1,-2.34619
[CLS] Valerius:2 Comazon:2 Eutychianus:3 has the position of Praetorian:4 prefect:2 . [SEP],Praetorian:4 prefect:2,Praetorian:4 prefect:2,1,Praetorian:4 prefect:2,1,-0.80997
