sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Antonio Ledesma:3 has the position of [MASK] [MASK] [MASK] . [SEP],Department of State,archbishop:3,0,archbishop:3,0,-0.62271
[CLS] Felix IV has the position of [MASK] [MASK] . [SEP],the Emperor,pope:2,0,pope:2,0,-1.13565
[CLS] Jimmy Carter has the position of [MASK] [MASK] . [SEP],Prime Minister,President of the United States,0,President of the United States,0,-0.20686
[CLS] John A . McCone:4 has the position of [MASK] [MASK] [MASK] . [SEP],Department of State,Director of Central Intelligence,0,Director of Central Intelligence,0,-0.49740
[CLS] John of Canterbury has the position of [MASK] [MASK] [MASK] . [SEP],John of Canterbury,archbishop:3,0,archbishop:3,0,-0.28430
[CLS] Francis William Markall:2 has the position of [MASK] [MASK] [MASK] [MASK] . [SEP],Ph . D .,archbishop:3,0,archbishop:3,0,-0.71938
[CLS] Samuel Alito:2 has the position of [MASK] [MASK] [MASK] . [SEP],S . S,Associate Justice of the Supreme Court of the United States,0,Associate Justice of the Supreme Court of the United States,0,-0.75628
[CLS] Kamose:2 has the position of [MASK] [MASK] . [SEP],Kamose:2,pharaoh:3,0,pharaoh:3,0,-0.14104
[CLS] John Gray has the position of [MASK] [MASK] [MASK] . [SEP],Sir John Gray,North Dakota State Treasurer:2,0,North Dakota State Treasurer:2,0,-0.42017
[CLS] William Bradley Umstead:3 has the position of [MASK] [MASK] [MASK] . [SEP],Secretary of State,Governor of North Carolina,0,Governor of North Carolina,0,-0.54697
[CLS] Patriarch:2 Callinicus:3 IV of Constantinople has the position of [MASK] [MASK] [MASK] [MASK] . [SEP],Patriarch:2 of Constantinople,Ecumenical:4 Patriarch:2 of Constantinople,0,Ecumenical:4 Patriarch:2 of Constantinople,0,-0.24990
[CLS] Marcus Maecius:2 Memmius:3 Furius:2 Baburius:3 Caecilianus:4 Placidus:3 has the position of [MASK] [MASK] . [SEP],prefect:2,Praefectus:4 urbi:2,0,Praefectus:4 urbi:2,0,-0.52410
[CLS] Miguel de la Madrid has the position of [MASK] [MASK] [MASK] [MASK] . [SEP],the Justice of Justice,President of Mexico,0,President of Mexico,0,-1.15623
[CLS] Alcmaeon:4 of Athens has the position of [MASK] [MASK] [MASK] . [SEP],Alcmae:3,eponymous:3 archon:2,0,eponymous:3 archon:2,0,-0.42633
[CLS] James Duane:2 has the position of [MASK] [MASK] [MASK] . [SEP],S . S,Mayor of New York City,0,Mayor of New York City,0,-0.74074
[CLS] Tokugawa Munekatsu:4 has the position of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Tokugawa Munekatsu:4,daimyo:3,0,daimyo:3,0,-0.73868
[CLS] Bettino:2 Craxi:3 has the position of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Bettino:2 Craxi:3,Prime Minister of Italy,0,Prime Minister of Italy,0,-0.91235
[CLS] Oscar Rolando:2 Cantuarias:3 Pastor has the position of [MASK] . [SEP],Pastor,archbishop:3,0,archbishop:3,0,-0.61841
[CLS] Roger de Meyland:2 has the position of [MASK] [MASK] [MASK] [MASK] . [SEP],Roger de Meyland:2,Bishop of Lichfield:3,0,Bishop of Lichfield:3,0,-0.86689
[CLS] Kim Campbell has the position of [MASK] [MASK] . [SEP],Kim Campbell,Prime Minister of Canada,0,Prime Minister of Canada,0,-0.11378
[CLS] Hilarion:3 ( Alfeyev:3 ) has the position of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],""" Hilarion:3 """,metropolitan bishop,0,metropolitan bishop,0,-0.81070
[CLS] Jacqueline Hernández has the position of [MASK] [MASK] [MASK] . [SEP],Mrs . Mrs,chief operating officer,0,chief operating officer,0,-0.72044
[CLS] Nebka:2 has the position of [MASK] [MASK] . [SEP],Nebka:2,pharaoh:3,0,pharaoh:3,0,-1.12078
[CLS] Marcantonio:3 Trivisan:3 has the position of [MASK] [MASK] [MASK] . [SEP],S . S,Doge:2 of Venice,0,Doge:2 of Venice,0,-0.85363
[CLS] Aleksandar Stamboliyski:5 has the position of [MASK] [MASK] [MASK] . [SEP],Minister of State,Prime Minister of Bulgaria,0,Prime Minister of Bulgaria,0,-0.88892
[CLS] Notis:2 Marias:2 has the position of [MASK] [MASK] . [SEP],parish church,member of the European Parliament,0,member of the European Parliament,0,-0.50762
[CLS] Yasuhiro:3 Nakasone:3 has the position of [MASK] [MASK] [MASK] . [SEP],S . S,Prime Minister of Japan,0,Prime Minister of Japan,0,-0.80124
[CLS] Joost:2 Lagendijk:3 has the position of [MASK] [MASK] [MASK] . [SEP],S . S,member of the European Parliament,0,member of the European Parliament,0,-0.98764
[CLS] Ted Wheeler has the position of [MASK] [MASK] [MASK] [MASK] . [SEP],Ph . D .,Oregon State Treasurer:2,0,Oregon State Treasurer:2,0,-0.89371
[CLS] Quintus Aemilius:3 Laetus:2 has the position of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Aemilius:3 Laetus:2,Praetorian:4 prefect:2,0,Praetorian:4 prefect:2,0,-0.98352
[CLS] Sarwe:2 Iyasus:3 has the position of [MASK] [MASK] . [SEP],Sarwe:2,Emperor of Ethiopia,0,Emperor of Ethiopia,0,-0.13038
[CLS] William Henry Elder has the position of [MASK] [MASK] [MASK] . [SEP],Secretary of State,archbishop:3,0,archbishop:3,0,-0.68448
[CLS] Cătălin:4 Ivan has the position of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Cătălin:4 Ivan,member of the European Parliament,0,member of the European Parliament,0,-0.92847
[CLS] Vincenzo Labini:2 has the position of [MASK] [MASK] [MASK] . [SEP],S . S,archbishop:3,0,archbishop:3,0,-0.61597
[CLS] Poul Nyrup:2 Rasmussen has the position of [MASK] [MASK] . [SEP],Prime Minister,Prime Minister of Denmark,0,Prime Minister of Denmark,0,-0.06053
[CLS] Róbert:3 Bezák:2 has the position of [MASK] [MASK] [MASK] . [SEP],S . S,archbishop:3,0,archbishop:3,0,-0.94014
[CLS] Barrington:2 Daniels Parker has the position of [MASK] [MASK] [MASK] . [SEP],Ph . D,United States federal judge,0,United States federal judge,0,-0.58649
[CLS] Leopold Figl:2 has the position of [MASK] [MASK] [MASK] . [SEP],Dr . Dr,Federal Chancellor of Austria,0,Federal Chancellor of Austria,0,-0.63779
[CLS] Valerius:2 Comazon:2 Eutychianus:3 has the position of [MASK] [MASK] [MASK] . [SEP],Eutychianus:3,Praetorian:4 prefect:2,0,Praetorian:4 prefect:2,0,-1.07809
[CLS] Séamus:3 Kirk has the position of [MASK] [MASK] [MASK] [MASK] . [SEP],Séamus:3 Kirk,Ceann:2 Comhairle:3,0,Ceann:2 Comhairle:3,0,-0.55820
[CLS] Ling How Doong:2 has the position of [MASK] [MASK] [MASK] . [SEP],B . D,Singapore Democratic Party,0,Singapore Democratic Party,0,-0.65891
[CLS] Clement XIV has the position of [MASK] [MASK] [MASK] . [SEP],King of Denmark,pope:2,0,pope:2,0,-0.97931
[CLS] Tony Cunningham has the position of [MASK] [MASK] [MASK] [MASK] . [SEP],Ph . D .,Department for International Development,0,Department for International Development,0,-0.77817
[CLS] Oleksandr:3 Turchynov:3 has the position of [MASK] [MASK] . [SEP],the commander,Prime Minister of Ukraine,0,Prime Minister of Ukraine,0,-0.94853
[CLS] Thomas Lemuel:3 James has the position of [MASK] [MASK] . [SEP],the Rev,United States Postmaster:2 General,0,United States Postmaster:2 General,0,-0.80618
[CLS] Anne Doherty has the position of [MASK] [MASK] . [SEP],an infant,superior general,0,superior general,0,-0.26142
[CLS] Wendell:2 H . Ford has the position of [MASK] [MASK] [MASK] . [SEP],U . S,Lieutenant Governor of Kentucky,0,Lieutenant Governor of Kentucky,0,-0.37481
[CLS] Giuseppe Antonio Ermenegildo:4 Prisco:2 has the position of [MASK] [MASK] [MASK] . [SEP],Department of State,archbishop:3,0,archbishop:3,0,-0.66099
[CLS] Antonia Parvanova:3 has the position of [MASK] [MASK] [MASK] . [SEP],Parvanova:3,member of the European Parliament,0,member of the European Parliament,0,-0.17640
[CLS] Archduke:3 Maximilian Francis of Austria has the position of [MASK] [MASK] [MASK] [MASK] . [SEP],Duke Duke of Austria,prince - elector:2,0,prince - elector:2,0,-0.35240
[CLS] Alfonso Carinci:2 has the position of [MASK] [MASK] [MASK] . [SEP],Secretary of State,archbishop:3,0,archbishop:3,0,-0.86594
[CLS] Robert James Carlson has the position of [MASK] [MASK] [MASK] . [SEP],Ph . D,archbishop:3,0,archbishop:3,0,-0.52265
[CLS] Robert Gates has the position of [MASK] [MASK] [MASK] . [SEP],Secretary of State,United States Secretary of Defense,0,United States Secretary of Defense,0,-0.33023
[CLS] Paolo Bollini:2 has the position of [MASK] [MASK] [MASK] . [SEP],S . S,Captain Regent of San Marino,0,Captain Regent of San Marino,0,-0.75334
[CLS] Jenny Shipley:2 has the position of [MASK] [MASK] [MASK] . [SEP],Jenny Shipley:2,Prime Minister of New Zealand,0,Prime Minister of New Zealand,0,-0.10214
[CLS] Jean de Moulins:2 has the position of [MASK] [MASK] . [SEP],parish priest,Master of the Order of Preachers:3,0,Master of the Order of Preachers:3,0,-0.63058
[CLS] Userkare:2 has the position of [MASK] [MASK] [MASK] . [SEP],S . S,pharaoh:3,0,pharaoh:3,0,-0.92413
[CLS] Volodymyr:4 Sabodan:3 has the position of [MASK] [MASK] [MASK] . [SEP],S . S,metropolitan bishop,0,metropolitan bishop,0,-0.90184
[CLS] Peter Mandelson:3 has the position of [MASK] [MASK] [MASK] . [SEP],Ph . D,"Secretary of State for Business , Energy and Industrial Strategy",0,"Secretary of State for Business , Energy and Industrial Strategy",0,-0.65256
[CLS] Patriarch:2 Timothy II of Constantinople has the position of [MASK] [MASK] [MASK] . [SEP],Holy Holy Holy,Ecumenical:4 Patriarch:2 of Constantinople,0,Ecumenical:4 Patriarch:2 of Constantinople,0,-0.17884
