sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Marin Marais plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . [MASK],viol:2,0,viol:2,0,-1.20280
[CLS] Brann:2 Dailor:2 plays [MASK] [MASK] . [SEP],Brann:2,drum kit,0,drum kit,0,-0.04394
[CLS] Jimmy Haslip:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],A . S . [MASK],bass guitar,0,bass guitar,0,-1.35834
[CLS] Beverly Peer plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . [MASK],double bass,0,double bass,0,-1.21647
[CLS] Shahram:2 Nazeri:3 plays [MASK] [MASK] [MASK] . [SEP],M . M,Setar:2,0,Setar:2,0,-1.15462
[CLS] Butch Ballard plays [MASK] [MASK] [MASK] . [SEP],the title character,drum kit,0,drum kit,0,-1.00819
[CLS] Necrobutcher:4 plays [MASK] [MASK] [MASK] . [SEP],U . S,bass guitar,0,bass guitar,0,-0.95928
[CLS] Hunter Hayes plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . [MASK],accordion:2,0,accordion:2,0,-0.88134
[CLS] Roger Humphries:3 plays [MASK] [MASK] [MASK] . [SEP],the title character,drum kit,0,drum kit,0,-1.12344
[CLS] Giuseppe Bellenghi:3 plays [MASK] [MASK] [MASK] . [SEP],a football player,mandolin:2,0,mandolin:2,0,-1.05083
[CLS] Bennie:2 Maupin:2 plays [MASK] [MASK] [MASK] . [SEP],the B minor,bass clarinet,0,bass clarinet,0,-1.01180
[CLS] Friedrich August Baumbach:2 plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the father of Baum [MASK],mandolin:2,0,mandolin:2,0,-1.33441
[CLS] Kisaki:2 plays [MASK] [MASK] [MASK] [MASK] . [SEP],. Kisaki:2 plays,bass guitar,0,bass guitar,0,-0.94142
[CLS] Peter Washington plays [MASK] [MASK] . [SEP],Peter Washington,double bass,0,double bass,0,-0.24280
[CLS] Giuseppe Pettine:2 plays [MASK] [MASK] [MASK] . [SEP],a football player,mandolin:2,0,mandolin:2,0,-1.20463
[CLS] Ean:2 Evans plays [MASK] [MASK] . [SEP],Ean:2,bass guitar,0,bass guitar,0,-0.26154
[CLS] Rafe:2 Stefanini:2 plays [MASK] [MASK] [MASK] [MASK] . [SEP],Rafe:2 Stefanini:2,fiddle:2,0,fiddle:2,0,-1.10103
[CLS] John Kiffmeyer:3 plays [MASK] [MASK] [MASK] . [SEP],the title character,drum kit,0,drum kit,0,-1.33906
[CLS] Erynn:3 Marshall plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the mother of the [MASK],fiddle:2,0,fiddle:2,0,-1.09402
[CLS] Victor Henry Anderson plays [MASK] [MASK] [MASK] . [SEP],the title character,accordion:2,0,accordion:2,0,-0.96985
[CLS] Tito Puente plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . [MASK],vibraphone:3,0,vibraphone:3,0,-0.98899
[CLS] Mary O ' Hara plays [MASK] [MASK] [MASK] . [SEP],the title character,harp:2,0,harp:2,0,-0.95137
[CLS] Woody Paul plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . [MASK],fiddle:2,0,fiddle:2,0,-0.90277
[CLS] Paul D ' Amour plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],A . S . [MASK],bass guitar,0,bass guitar,0,-1.43512
[CLS] Zak:2 Sally plays [MASK] [MASK] . [SEP],Zak:2,bass guitar,0,bass guitar,0,-0.11201
[CLS] David Brown plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . [MASK],bass guitar,0,bass guitar,0,-0.95204
[CLS] Joris:2 Vanvinckenroye:5 plays [MASK] [MASK] [MASK] . [SEP],the title character,double bass,0,double bass,0,-1.35406
[CLS] Larissa:2 Burak:2 plays [MASK] [MASK] [MASK] . [SEP],a football player,bandura:2,0,bandura:2,0,-1.20807
[CLS] Daithí:3 Ó Drónaí:3 plays [MASK] [MASK] . [SEP],an actor,fiddle:2,0,fiddle:2,0,-0.73835
[CLS] Gordon Laing:2 plays [MASK] [MASK] [MASK] . [SEP],the B minor,bassoon:2,0,bassoon:2,0,-1.31433
[CLS] Per Hannevold:3 plays [MASK] [MASK] [MASK] . [SEP],a handball player,bassoon:2,0,bassoon:2,0,-1.40988
[CLS] Pete Way plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . [MASK],bass guitar,0,bass guitar,0,-0.95902
[CLS] Fernando Angel plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . [MASK],bass guitar,0,bass guitar,0,-1.05938
[CLS] Wayne Dockery:2 plays [MASK] [MASK] [MASK] . [SEP],the football team,double bass,0,double bass,0,-1.68116
[CLS] Jon Hiseman:2 plays [MASK] [MASK] [MASK] . [SEP],the title character,drum kit,0,drum kit,0,-1.33287
[CLS] Robert Johnson plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . [MASK],lute:2,0,lute:2,0,-0.87956
[CLS] Chris Bates plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . [MASK],double bass,0,double bass,0,-0.86017
[CLS] Reidar:2 Horghagen:3 plays [MASK] [MASK] [MASK] . [SEP],a former footballer,drum kit,0,drum kit,0,-1.08044
[CLS] Will Calhoun plays [MASK] [MASK] [MASK] . [SEP],U . S,drum kit,0,drum kit,0,-0.63882
[CLS] Stewart Copeland plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . [MASK],drum kit,0,drum kit,0,-0.96753
[CLS] Michael Penn plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . [MASK],bass guitar,0,bass guitar,0,-1.06581
[CLS] Scruffy:3 Wallace plays [MASK] [MASK] . [SEP],an actor,bagpipes:3,0,bagpipes:3,0,-0.40696
[CLS] Edmar:2 Castañeda:3 plays [MASK] [MASK] [MASK] . [SEP],the first part,harp:2,0,harp:2,0,-1.35896
[CLS] Ruth Acuff:3 plays [MASK] [MASK] [MASK] [MASK] . [SEP],Ruth Acuff:3,harp:2,0,harp:2,0,-0.60098
[CLS] Magnus Skavhaug:5 Nergaard:3 plays [MASK] [MASK] . [SEP],a footballer,double bass,0,double bass,0,-1.27652
[CLS] Jacopo Gianninoto:3 plays [MASK] [MASK] [MASK] . [SEP],a football player,lute:2,0,lute:2,0,-1.09444
[CLS] Son of Dave plays [MASK] [MASK] . [SEP],the drums,harmonica:2,0,harmonica:2,0,-1.34681
[CLS] Nathan Chapman plays [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . [MASK],mandolin:2,0,mandolin:2,0,-1.18045
[CLS] Alphonso:3 Johnson plays [MASK] [MASK] [MASK] . [SEP],the acoustic guitar,bass guitar,0,bass guitar,0,-1.03516
