sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Fred Gerbic:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],L . A .,New Zealand Labour Party,0,New Zealand Labour Party,0,-1.26892
[CLS] Rudolf Henke:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Giessen:3,Christian Democratic Union,0,Christian Democratic Union,0,-1.07559
[CLS] Leonardo Rodríguez Alcaine:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Democratic Party,Institutional:2 Revolutionary Party,0,Institutional:2 Revolutionary Party,0,-1.13962
[CLS] Giuliano Pisapia:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],P . P .,"Left , Ecology and Freedom",0,"Left , Ecology and Freedom",0,-0.86477
[CLS] Dhananjay:3 Mahadik:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Nationalist:2 Congress Party,0,Nationalist:2 Congress Party,0,-0.91339
[CLS] Jennie:2 George is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Australian Labor Party,0,Australian Labor Party,0,-0.48835
[CLS] Pierre Arcand:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,Quebec Liberal Party,0,Quebec Liberal Party,0,-0.79299
[CLS] Mahadeepak:4 Singh Shakya:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4,Bharatiya:4 Janata:2 Party,0,Bharatiya:4 Janata:2 Party,0,-0.69310
[CLS] Don Hopgood:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Australian Labor Party,0,Australian Labor Party,0,-0.42064
[CLS] Eliezer:2 Cohen is a member of the [MASK] [MASK] [MASK] political party . [SEP],Ya Ya Ya,Yisrael:3 Beiteinu:3,0,Yisrael:3 Beiteinu:3,0,-0.83363
[CLS] Stephen Bromhead:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,National Party of Australia,0,National Party of Australia,0,-0.25686
[CLS] Don Davies is a member of the [MASK] [MASK] political party . [SEP],Labour Party,New Democratic Party,0,New Democratic Party,0,-0.52754
[CLS] Wolfgang Pepper is a member of the [MASK] [MASK] [MASK] political party . [SEP],K K K,Social Democratic Party of Germany,0,Social Democratic Party of Germany,0,-0.84690
[CLS] Michael Chan is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],K K K K K,Ontario Liberal Party,0,Ontario Liberal Party,0,-1.01656
[CLS] Ron Bailey is a member of the [MASK] [MASK] [MASK] political party . [SEP],Greensboro:3,New Zealand Labour Party,0,New Zealand Labour Party,0,-1.16698
[CLS] Roger Dean is a member of the [MASK] [MASK] [MASK] political party . [SEP],Greensboro:3,Liberal Party of Australia,0,Liberal Party of Australia,0,-1.21084
[CLS] Girijakumari:5 S . is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Girijakumari:5,Bharatiya:4 Janata:2 Party,0,Bharatiya:4 Janata:2 Party,0,-0.59603
[CLS] C . N . Jayadevan:3 is a member of the [MASK] [MASK] political party . [SEP],Congress Party,Communist Party of India,0,Communist Party of India,0,-0.45307
[CLS] Henri de Raincourt:2 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Union for a Popular Movement,0,Union for a Popular Movement,0,-0.80083
[CLS] Geoffrey Giles is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Liberal Party of Australia,0,Liberal Party of Australia,0,-0.24658
[CLS] Mark Eyking:3 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Liberal Party of Canada,0,Liberal Party of Canada,0,-1.12699
[CLS] Garry Kasparov:2 is a member of the [MASK] [MASK] political party . [SEP],Russian Federation,United Civil Front,0,United Civil Front,0,-0.34663
[CLS] Wang Shusheng:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Xingmen:3,Communist Party of China,0,Communist Party of China,0,-0.46477
[CLS] Xosé Manuel Beiras:2 is a member of the [MASK] [MASK] political party . [SEP],Galician:2,Galician:2 Nationalist:2 Bloc:2,0,Galician:2 Nationalist:2 Bloc:2,0,-0.35399
[CLS] Jayalath:3 Jayawardena:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4,United National Party,0,United National Party,0,-0.65887
[CLS] Peter Sinclair is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Liberal Party of Canada,0,Liberal Party of Canada,0,-0.61147
[CLS] John Dallat:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],K K K K K,Social Democratic and Labour Party,0,Social Democratic and Labour Party,0,-1.29164
[CLS] Linda Fabiani:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Social Party,Scottish National Party,0,Scottish National Party,0,-0.90441
[CLS] Sándor Farkas:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],U . S .,Fidesz:3,0,Fidesz:3,0,-0.87612
[CLS] José Varela Fernández is a member of the [MASK] [MASK] political party . [SEP],PNV:2,Popular Democratic Party,0,Popular Democratic Party,0,-1.09231
[CLS] C . P . Subbiah:3 Mudaliar:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],C . P .,Indian National Congress,0,Indian National Congress,0,-0.66831
[CLS] Eduardo Doryan:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],E . P .,National Liberation Party,0,National Liberation Party,0,-1.27255
[CLS] Art Torres is a member of the [MASK] [MASK] [MASK] political party . [SEP],Ar Ar Ar,Democratic Party,0,Democratic Party,0,-0.56894
[CLS] Amitesh:3 Shukla:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],K K K,Indian National Congress,0,Indian National Congress,0,-0.70965
