sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Radenbeck:2 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the district of Radenbeck:2,Wittingen:2,0,Wittingen:2,0,-1.00382
[CLS] Stamford is located in [MASK] . [SEP],Stamford,Bennington:3 County,0,Bennington:3 County,0,-0.53170
[CLS] Kozice:2 Dolne:2 - Kolonia is located in [MASK] [MASK] [MASK] . [SEP],the town proper,"Gmina Piaski:2 , Lublin Voivodeship",0,"Gmina Piaski:2 , Lublin Voivodeship",0,-0.62680
[CLS] Qalqanlu:4 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Qalqanlu:4,Chaharduli:3 Rural District,0,Chaharduli:3 Rural District,0,-0.54977
[CLS] Waterperry:3 with Thomley:2 is located in [MASK] [MASK] [MASK] . [SEP],Waterperry:3,South Oxfordshire,0,South Oxfordshire,0,-0.00497
[CLS] Kranjče:4 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Kranjče:4,Cerknica:3 Municipality,0,Cerknica:3 Municipality,0,-0.81193
[CLS] Mossley:2 West railway station is located in [MASK] [MASK] [MASK] . [SEP],Mossley:2 West,Newtownabbey:4,0,Newtownabbey:4,0,-0.00583
[CLS] Bukovice:3 is located in [MASK] [MASK] [MASK] . [SEP],Bukovice:3,Brno - Country District,0,Brno - Country District,0,-0.41028
[CLS] Sonceboz:4 - Sombeval:3 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the north of the commune,canton of Bern,0,canton of Bern,0,-0.88356
[CLS] Mota:2 del Cuervo:2 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Mota:2 del Cuervo:2,Cuenca Province,0,Cuenca Province,0,-0.66622
"[CLS] Wolf Lick:2 , Kentucky is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP]","Wolf Lick:2 , Kentucky",Logan County,0,Logan County,0,-0.13937
[CLS] Solipet:3 is located in [MASK] [MASK] [MASK] . [SEP],Solipet:3,Ranga:2 Reddy:2 district,0,Ranga:2 Reddy:2 district,0,-0.26239
"[CLS] Cykowo:3 , Greater Poland Voivodeship is located in [MASK] [MASK] [MASK] . [SEP]",Cykowo:3,Gmina Kamieniec:3,0,Gmina Kamieniec:3,0,-0.01245
[CLS] Rolling Green Township is located in [MASK] [MASK] [MASK] . [SEP],"Putnam , Putnam",Martin County,0,Martin County,0,-0.55379
[CLS] Tervakoski:4 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Tervakoski:4,Janakkala:3,0,Janakkala:3,0,-0.03017
[CLS] Nahr:2 - e Gabin:2 - e Olya:2 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"Nahr:2 , Nahr:2",Khuzestan:3 Province,0,Khuzestan:3 Province,0,-0.84771
"[CLS] Brestnitsa:3 , Dobrich:3 Province is located in [MASK] [MASK] [MASK] [MASK] . [SEP]",Dobrich:3 Province,Dobrich:3 Province,1,Dobrich:3 Province,1,-0.63487
[CLS] Mira - Bhayandar:3 is located in [MASK] [MASK] [MASK] . [SEP],Madhya Pradesh district,Thane:2 district,0,Thane:2 district,0,-0.64999
[CLS] Arpaçbahşiş:6 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Arpaçbahşi:5,Mersin:2 Province,0,Mersin:2 Province,0,-1.03012
[CLS] Odolo:2 is located in [MASK] [MASK] [MASK] . [SEP],Lu Lu Lu,Province of Brescia,0,Province of Brescia,0,-0.56429
[CLS] Roosevelt Island Bridge is located in [MASK] [MASK] . [SEP],Roosevelt Island,New York City,0,New York City,0,-0.02814
"[CLS] Brzeg:2 , Tomaszów:2 Mazowiecki:4 County is located in [MASK] [MASK] . [SEP]",Brzeg:2,Gmina Rzeczyca:4,0,Gmina Rzeczyca:4,0,-0.01520
[CLS] Badafshan:3 - e Pain is located in [MASK] [MASK] [MASK] . [SEP],"Punjab , Pakistan",Rahdar:3 Rural District,0,Rahdar:3 Rural District,0,-0.80736
[CLS] Kakdwip:4 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Kakdwip:4,South 24 Parganas:3 district,0,South 24 Parganas:3 district,0,-0.44482
[CLS] Chlebice:3 is located in [MASK] [MASK] [MASK] . [SEP],Chlebice:3,Gmina Tuplice:2,0,Gmina Tuplice:2,0,-0.07378
[CLS] Bhagwan:4 Parshuram:3 Institute of Technology is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Bhagwan:4,New Delhi,0,New Delhi,0,-0.51603
[CLS] Villafranca:2 d ' Asti is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Villafranca:2 d ' Asti,Province of Asti,0,Province of Asti,0,-0.26593
[CLS] Kammeta:3 is located in [MASK] [MASK] [MASK] . [SEP],Kammeta:3,Ranga:2 Reddy:2 district,0,Ranga:2 Reddy:2 district,0,-0.37167
"[CLS] Trzciniec:4 , Łódź Voivodeship is located in [MASK] [MASK] [MASK] [MASK] . [SEP]",Trzciniec:4,Gmina Sulmierzyce:3,0,Gmina Sulmierzyce:3,0,-0.04433
[CLS] Bernie Moore Track Stadium is located in [MASK] [MASK] [MASK] . [SEP],Co . Co,Baton:2 Rouge,0,Baton:2 Rouge,0,-0.72397
[CLS] Kotenovtsi:4 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Kotenovtsi:4,Berkovitsa:4 Municipality,0,Berkovitsa:4 Municipality,0,-0.37758
[CLS] Baspani:2 is located in [MASK] [MASK] . [SEP],Baspani:2,Khotang:3 District,0,Khotang:3 District,0,-0.73313
[CLS] Tsendagang:4 Gewog:3 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Tsendagang:4,Dagana:2 District,0,Dagana:2 District,0,-0.52799
[CLS] Rutland:3 is located in [MASK] [MASK] [MASK] . [SEP],Rutland:3,Rutland:3 County,0,Rutland:3 County,0,-0.98175
[CLS] Pedalanka:3 is located in [MASK] [MASK] [MASK] . [SEP],Pedalanka:3,Guntur:2 district,0,Guntur:2 district,0,-0.06742
[CLS] Wijk:2 aan Zee is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Wijk:2 aan Zee,Beverwijk:3,0,Beverwijk:3,0,-0.10086
[CLS] Elanad:2 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],the village Elanad:2,Thrissur:3 district,0,Thrissur:3 district,0,-0.93124
"[CLS] Kubhinde:3 , Rapti:2 is located in [MASK] [MASK] [MASK] . [SEP]",Kubhinde:3,Salyan:2 District,0,Salyan:2 District,0,-0.00478
[CLS] Neumarkt:2 in der Oberpfalz:2 is located in [MASK] [MASK] [MASK] . [SEP],the Oberpfalz:2,Neumarkt:2,0,Neumarkt:2,0,-0.41591
[CLS] Şahtaxtı:3 is located in [MASK] [MASK] [MASK] . [SEP],U . S,Kangarli:3 District,0,Kangarli:3 District,0,-0.75774
[CLS] North Carolina Highway 37 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],North Carolina Highway 37,North Carolina,0,North Carolina,0,-0.99430
[CLS] Sang Rud:2 Pey:2 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Sang Rud:2 Pey:2,Khvosh:4 Rud:2 Rural District,0,Khvosh:4 Rud:2 Rural District,0,-0.45690
[CLS] Orino:2 is located in [MASK] [MASK] . [SEP],Orino:2,Province of Varese,0,Province of Varese,0,-0.83797
[CLS] Sahartara:3 is located in [MASK] [MASK] [MASK] . [SEP],Sahartara:3,Dolpa:2 District,0,Dolpa:2 District,0,-0.83803
[CLS] Rio Pomba:2 is located in [MASK] [MASK] [MASK] . [SEP],Rio Pomba:2,Minas Gerais,0,Minas Gerais,0,-0.02255
[CLS] Lisana:2 is located in [MASK] [MASK] [MASK] . [SEP],U . S,Haryana:2,0,Haryana:2,0,-0.81249
[CLS] Machail:2 Mata is located in [MASK] [MASK] [MASK] . [SEP],Machail:2 Mata,Kishtwar:3 district,0,Kishtwar:3 district,0,-0.39489
[CLS] Misséni:2 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the north of Misséni:2,Sikasso:3 Region,0,Sikasso:3 Region,0,-1.17036
"[CLS] Rannu:2 , Uttar Pradesh is located in [MASK] [MASK] . [SEP]",Rannu:2,Uttar Pradesh,0,Uttar Pradesh,0,-0.13657
[CLS] Zhuzhou:2 Stadium is located in [MASK] [MASK] . [SEP],Zhuzhou:2,Zhuzhou:2,1,Zhuzhou:2,1,-0.01345
[CLS] Kori:2 Ginguiri:3 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Kori:2 Ginguiri:3,Banikoara:3,0,Banikoara:3,0,-0.28127
[CLS] Aichach:3 - Friedberg:3 is located in [MASK] [MASK] [MASK] . [SEP],Aichach:3,Swabia:3,0,Swabia:3,0,-0.30757
[CLS] Tomamae:3 is located in [MASK] [MASK] [MASK] . [SEP],Tomamae:3,Rumoi:2 Subprefecture:4,0,Rumoi:2 Subprefecture:4,0,-0.01304
[CLS] Bachinagudda:4 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Bachinagudda:4,Bagalkot:3 district,0,Bagalkot:3 district,0,-0.84559
[CLS] Sambhal:3 district is located in [MASK] [MASK] [MASK] [MASK] . [SEP],"Madhya Pradesh , India",Uttar Pradesh,0,Uttar Pradesh,0,-0.54189
[CLS] Noardburgum:4 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Noardburgum:4,Tytsjerksteradiel:6,0,Tytsjerksteradiel:6,0,-0.03370
"[CLS] Point de Bute:2 , New Brunswick is located in [MASK] [MASK] [MASK] [MASK] . [SEP]",Point de Bute:2,New Brunswick,0,New Brunswick,0,-0.07802
[CLS] New York Dance Festival is located in [MASK] [MASK] . [SEP],New York,New York City,0,New York City,0,-0.15074
[CLS] Strzebielinko:5 is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Strzebielinko:5,Gmina Gniewino:4,0,Gmina Gniewino:4,0,-0.65109
[CLS] Tweede Exloërmond:4 is located in [MASK] [MASK] [MASK] . [SEP],Harderwijk:3,Borger:2 - Odoorn:3,0,Borger:2 - Odoorn:3,0,-1.23871
"[CLS] North Side , Cayman:2 Islands is located in [MASK] [MASK] [MASK] . [SEP]",the North Side,Cayman:2 Islands,0,Cayman:2 Islands,0,-0.61890
[CLS] Ghamr:3 District is located in [MASK] [MASK] . [SEP],Madhya Pradesh,Saada:2 Governorate:2,0,Saada:2 Governorate:2,0,-0.54632
"[CLS] Possum:2 Trot:2 , Virginia is located in [MASK] [MASK] [MASK] [MASK] . [SEP]",Possum:2 Trot:2,Highland County,0,Highland County,0,-0.02966
[CLS] Gaspereau:3 River is located in [MASK] [MASK] [MASK] . [SEP],the Northwest Territories,Nova Scotia,0,Nova Scotia,0,-0.68004
[CLS] Limbach:2 is located in [MASK] [MASK] . [SEP],Limbach:2,Pezinok:3 District,0,Pezinok:3 District,0,-0.41270
[CLS] Pietralunga:3 is located in [MASK] [MASK] [MASK] . [SEP],Pietralunga:3,Province of Perugia,0,Province of Perugia,0,-0.86580
[CLS] Hampshire is located in [MASK] [MASK] [MASK] . [SEP],the West Midlands,South East England,0,South East England,0,-0.82353
[CLS] Zahara:2 de la Sierra is located in [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Zahara:2 de la Sierra,Andalusia:3,0,Andalusia:3,0,-0.24518
[CLS] Schulenburg:2 is located in [MASK] [MASK] [MASK] . [SEP],U . S,Fayette County,0,Fayette County,0,-0.43550
[CLS] Kasamatsu:3 is located in [MASK] [MASK] [MASK] . [SEP],Kasamatsu:3,"Hashima:2 District , Gifu:2",0,"Hashima:2 District , Gifu:2",0,-0.05382
[CLS] Variko:2 is located in [MASK] [MASK] . [SEP],Variko:2,West Macedonia Region,0,West Macedonia Region,0,-0.69631
[CLS] Si Sawat:2 is located in [MASK] [MASK] [MASK] . [SEP],Si Sawat:2,Kanchanaburi:4,0,Kanchanaburi:4,0,-0.14452
[CLS] Phodong:3 Forest Block is located in [MASK] [MASK] [MASK] . [SEP],Phodong:3,North Sikkim:3 district,0,North Sikkim:3 district,0,-0.22631
[CLS] Pireh:3 Sorkh:3 - e Pain is located in [MASK] [MASK] [MASK] . [SEP],Pireh:3,Bakesh:3 - e Do Rural District,0,Bakesh:3 - e Do Rural District,0,-0.00955
[CLS] Kasumigaseki:4 Station is located in [MASK] [MASK] [MASK] [MASK] . [SEP],Kasumigaseki:4,Kawagoe:3,0,Kawagoe:3,0,-0.65234
[CLS] Slavske:3 is located in [MASK] [MASK] [MASK] . [SEP],Slavske:3,Skole:2 Raion:2,0,Skole:2 Raion:2,0,-0.44171
[CLS] Belvís:3 de la Jara:2 is located in [MASK] [MASK] [MASK] [MASK] . [SEP],the north of Province,Castile - La Mancha,0,Castile - La Mancha,0,-0.79273
"[CLS] Piece , Silesian:2 Voivodeship is located in [MASK] [MASK] [MASK] [MASK] . [SEP]",the village of Piece,Gmina Gaszowice:3,0,Gmina Gaszowice:3,0,-0.44533
[CLS] Cartura:2 is located in [MASK] [MASK] . [SEP],Cartura:2,Province of Padua,0,Province of Padua,0,-0.06933
[CLS] North Richmond is located in [MASK] [MASK] . [SEP],North Richmond,New South Wales,0,New South Wales,0,-0.03889
[CLS] Blackhawk:2 is located in [MASK] [MASK] . [SEP],Blackhawk:2,Vigo County,0,Vigo County,0,-0.09403
