sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Curtis Fleming plays with [MASK] [MASK] [MASK] [MASK] . [SEP],M . D .,Middlesbrough F . C .,0,Middlesbrough F . C .,0,-0.92070
[CLS] León Strembel:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],Leon Strembel:3,Argentina national football team,0,Argentina national football team,0,-0.75010
[CLS] Rumen:2 Rangelov:2 plays with [MASK] [MASK] [MASK] . [SEP],S . S,FC Lokomotiv:2 1929 Sofia,0,FC Lokomotiv:2 1929 Sofia,0,-0.86012
[CLS] George Watts plays with [MASK] [MASK] [MASK] . [SEP],W . W,Washington Redskins:2,0,Washington Redskins:2,0,-0.31162
[CLS] Ian Holloway plays with [MASK] [MASK] . [SEP],Ian Holloway,Torquay:3 United F . C .,0,Torquay:3 United F . C .,0,-0.18368
[CLS] Garyn:2 Preen:2 plays with [MASK] [MASK] . [SEP],Preen:2,Cinderford:3 Town A . F . C .,0,Cinderford:3 Town A . F . C .,0,-0.08175
[CLS] Siobhan:3 Chamberlain plays with [MASK] [MASK] [MASK] . [SEP],F . F,Chelsea L . F . C .,0,Chelsea L . F . C .,0,-0.36201
[CLS] Bob Meinke:2 plays with [MASK] [MASK] [MASK] . [SEP],B . B,Cincinnati Reds,0,Cincinnati Reds,0,-0.25344
[CLS] Luis Quiñones:3 plays with [MASK] [MASK] [MASK] . [SEP],the national team,Oakland Athletics,0,Oakland Athletics,0,-0.89137
[CLS] R . H . Massy:2 - Westropp:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],. R . H,Ireland national rugby union team,0,Ireland national rugby union team,0,-0.60822
[CLS] Jeremy Richardson plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the U . S,San Antonio Spurs,0,San Antonio Spurs,0,-0.66889
[CLS] Steven Finn plays with [MASK] [MASK] . [SEP],Steven Finn,Quebec Nordiques:2,0,Quebec Nordiques:2,0,-0.27134
[CLS] Sidnei:2 Sciola:2 plays with [MASK] [MASK] [MASK] . [SEP],F . F,Esporte Clube Noroeste:2,0,Esporte Clube Noroeste:2,0,-0.47000
[CLS] Abderrahmane:4 Mahjoub:4 plays with [MASK] [MASK] [MASK] . [SEP],F . C,Morocco national football team,0,Morocco national football team,0,-0.73603
[CLS] Rincón plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],. . . . .,E . S . Troyes A . C .,0,E . S . Troyes A . C .,0,-0.85067
[CLS] Sergio Angulo:2 plays with [MASK] [MASK] [MASK] . [SEP],F . F,Independiente Santa Fe,0,Independiente Santa Fe,0,-0.61850
[CLS] Paul Henderson plays with [MASK] [MASK] [MASK] . [SEP],Paul Henderson Band,New Zealand national rugby union team,0,New Zealand national rugby union team,0,-0.55057
[CLS] Voro:2 plays with [MASK] [MASK] . [SEP],Voro:2,Valencia CF,0,Valencia CF,0,-0.13149
