sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] Curtis Fleming plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and ""s:2",Middlesbrough F . C .,0,Middlesbrough F . C .,0
[CLS] León Strembel:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Argentina national football team,0,Argentina national football team,0
[CLS] Rumen:3 Rangelov:2 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],FC FC FC FC,FC Lokomotiv:4 1929 Sofia,0,FC Lokomotiv:4 1929 Sofia,0
[CLS] George Watts plays with [MASK] [MASK] . [SEP],thea:2,Washington Redskins,0,Washington Redskins,0
[CLS] Ian Holloway plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the . .s:2,Torquay:3 United F . C .,0,Torquay:3 United F . C .,0
[CLS] Garyn:2 Preen:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .e:2,Cinderford:3 Town A . F . C .,0,Cinderford:3 Town A . F . C .,0
[CLS] Siobhan:3 Chamberlain plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the the and ands:2,Chelsea L . F . C .,0,Chelsea L . F . C .,0
[CLS] Bob Meinke:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and "" """,Cincinnati Reds,0,Cincinnati Reds,0
[CLS] Luis Quiñones:4 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the cluboo:3,Oakland Athletics,0,Oakland Athletics,0
[CLS] R . H . Massy:2 - Westropp:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Ireland national rugby union team,0,Ireland national rugby union team,0
[CLS] Jeremy Richardson plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,San Antonio Spurs,0,San Antonio Spurs,0
[CLS] Steven Finn plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Quebec Nordiques:2,0,Quebec Nordiques:2,0
[CLS] Sidnei:3 Sciola:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .a:2,Esporte:3 Clube Noroeste:3,0,Esporte:3 Clube Noroeste:3,0
[CLS] Abderrahmane:5 Mahjoub:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club andaa:3,Morocco national football team,0,Morocco national football team,0
[CLS] Rincón:4 plays with [MASK] [MASK] [MASK] . [SEP],theoo:3,E . S . Troyes:2 A . C .,0,E . S . Troyes:2 A . C .,0
[CLS] Sergio Angulo:2 plays with [MASK] [MASK] [MASK] . [SEP],theoo:3,Independiente:5 Santa Fe,0,Independiente:5 Santa Fe,0
[CLS] Paul Henderson plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,New Zealand national rugby union team,0,New Zealand national rugby union team,0
[CLS] Voro:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . . . """,Valencia CF,0,Valencia CF,0
[CLS] Bruce Douglas plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and ands:2,Sacramento Kings,0,Sacramento Kings,0
[CLS] Arthur Wolstenholme:5 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . . and """,Gillingham:2 F . C .,0,Gillingham:2 F . C .,0
[CLS] Maksym:3 Prykhodnoy:5 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the "" and -s:2",FC Hirnyk:3 - Sport Horishni:4 Plavni:3,0,FC Hirnyk:3 - Sport Horishni:4 Plavni:3,0
[CLS] Jack Carpenter plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Hamilton Tiger - Cats,0,Hamilton Tiger - Cats,0
[CLS] Gonzalo:3 Bazán:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the .oo:3,Club Atlético San Lorenzo de Almagro:2,0,Club Atlético San Lorenzo de Almagro:2,0
[CLS] Arthur Yedigaryan:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Alashkert:4 FC,0,Alashkert:4 FC,0
[CLS] Leon Powe:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,Memphis Grizzlies:4,0,Memphis Grizzlies:4,0
[CLS] Alexandre Moreno Lopera:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .o:2,Rayo:2 Vallecano:2,0,Rayo:2 Vallecano:2,0
[CLS] Andy Bathgate:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,New York Rangers,0,New York Rangers,0
[CLS] Børre:3 Steenslid:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club club -s:2,Viking FK,0,Viking FK,0
[CLS] Paul Henare:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Christchurch Cougars:3,0,Christchurch Cougars:3,0
[CLS] Emmanuel McDaniel:5 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . .s:2,Arizona Cardinals,0,Arizona Cardinals,0
[CLS] Kyle Richardson plays with [MASK] [MASK] [MASK] [MASK] . [SEP],the . .s:2,Miami Dolphins,0,Miami Dolphins,0
[CLS] Peter Bullough:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Bolton Wanderers F . C .,0,Bolton Wanderers F . C .,0
[CLS] Chris Parker plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . and . """,Gateshead:2 Thunder,0,Gateshead:2 Thunder,0
[CLS] Franjo:3 Lovrić:4 plays with [MASK] [MASK] . [SEP],FK Sarajevo,Yugoslavia national football team,0,Yugoslavia national football team,0
[CLS] Craig Armstrong plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Gillingham:2 F . C .,0,Gillingham:2 F . C .,0
[CLS] Billy Findlay:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Kilmarnock:4 F . C .,0,Kilmarnock:4 F . C .,0
[CLS] Tim Moynihan:4 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Arizona Cardinals,0,Arizona Cardinals,0
[CLS] Earl Okine:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Brooklyn Bolts:2,0,Brooklyn Bolts:2,0
[CLS] Kazuyoshi:3 Miura:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Yokohama FC,0,Yokohama FC,0
[CLS] Felix Rossignol:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],"the . . . """,Detroit Red Wings,0,Detroit Red Wings,0
[CLS] Diyan:2 Donchev:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the club . . team,A . E . K . Athens F . C .,0,A . E . K . Athens F . C .,0
[CLS] Mick Bodley:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Chelsea F . C .,0,Chelsea F . C .,0
[CLS] Harlon:3 Hill plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Detroit Lions,0,Detroit Lions,0
[CLS] John Heitinga:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .a:2,Hertha:2 BSC:2,0,Hertha:2 BSC:2,0
[CLS] Yevgeni:4 Stukanov:3 plays with [MASK] [MASK] [MASK] [MASK] . [SEP],FC FC FC FC,FC Rostov:3,0,FC Rostov:3,0
[CLS] Dean Horribine:3 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . and .s:2,Hibernian:3 F . C .,0,Hibernian:3 F . C .,0
[CLS] David Andreoli:2 plays with [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],the . . .s:2,FC Luzern:3,0,FC Luzern:3,0
