sentence,prediction,gold,is_same
[CLS] Fred Gerbic:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],L . A .,New Zealand Labour Party | New Zealand Labour Party,False
[CLS] Rudolf Henke:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Giessen:3,Christian Democratic Union | CDU | Christian Democratic Union | Christian Democratic Union of Germany | Christlich:2 Demokratische:3 Union | Christlich:2 Demokratische:3 Union Deutschlands,False
[CLS] Leonardo Rodríguez Alcaine:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Democratic Party,Institutional:2 Revolutionary Party | Institutional:2 Revolutionary Party | National Revolutionary Party | Partido Constitucionalista:2 | Partido de centro izquierda | Party of the Mexican Revolution,False
[CLS] Giuliano Pisapia:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],P . P .,"Left , Ecology and Freedom | Left Ecology Freedom | Left , Ecology and Freedom | Left , Ecology , Freedom",False
[CLS] Dhananjay:3 Mahadik:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Nationalist:2 Congress Party | NCP:2 | Nationalist:2 Congress Party,False
[CLS] Jennie:2 George is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Pierre Arcand:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,Quebec Liberal Party | PLQ:2 | Parti liberal du Quebec | Parti libéral du Québec | Quebec Liberal Party,False
[CLS] Mahadeepak:4 Singh Shakya:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4,Bharatiya:4 Janata:2 Party | BJP:3 | Bharatiya:4 Janata:2 Party,False
[CLS] Don Hopgood:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Eliezer:2 Cohen is a member of the [MASK] [MASK] [MASK] political party . [SEP],Ya Ya Ya,Yisrael:3 Beiteinu:3 | Israel Beitenu:2 | Yisrael:3 Beiteinu:3 | Yisrael:3 Beitenu:2,False
[CLS] Stephen Bromhead:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,National Party of Australia | Australian Country Party | National Country Party | National Party of Australia,False
[CLS] Don Davies is a member of the [MASK] [MASK] political party . [SEP],Labour Party,New Democratic Party | NDP:2 | New Democratic Party | New Democratic Party of Canada,False
[CLS] Wolfgang Pepper is a member of the [MASK] [MASK] [MASK] political party . [SEP],K K K,Social Democratic Party of Germany | SPD | Social Democratic Party of Germany | Sozialdemokratische:6 Partei Deutschlands,False
[CLS] Michael Chan is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],K K K K K,Ontario Liberal Party | Grits:2 | Liberal Party of Ontario | Ontario Liberal Party,False
[CLS] Ron Bailey is a member of the [MASK] [MASK] [MASK] political party . [SEP],Greensboro:3,New Zealand Labour Party | New Zealand Labour Party,False
[CLS] Roger Dean is a member of the [MASK] [MASK] [MASK] political party . [SEP],Greensboro:3,Liberal Party of Australia | Lib:2 | Liberal Party of Australia,False
[CLS] Girijakumari:5 S . is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Girijakumari:5,Bharatiya:4 Janata:2 Party | BJP:3 | Bharatiya:4 Janata:2 Party,False
[CLS] C . N . Jayadevan:3 is a member of the [MASK] [MASK] political party . [SEP],Congress Party,Communist Party of India | CPI:2 | Communist Party of India,False
[CLS] Henri de Raincourt:2 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Union for a Popular Movement | Union for a Popular Movement,False
[CLS] Geoffrey Giles is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Liberal Party of Australia | Lib:2 | Liberal Party of Australia,False
[CLS] Mark Eyking:3 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] Garry Kasparov:2 is a member of the [MASK] [MASK] political party . [SEP],Russian Federation,United Civil Front | United Civil Front,False
[CLS] Wang Shusheng:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Xingmen:3,Communist Party of China | CCP:2 | CPC:2 | Chinese Communist Party | Communist Party of China | TG:2,False
[CLS] Xosé Manuel Beiras:2 is a member of the [MASK] [MASK] political party . [SEP],Galician:2,Galician:2 Nationalist:2 Bloc:2 | Galician:2 Nationalist:2 Bloc:2,False
[CLS] Jayalath:3 Jayawardena:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4,United National Party | United National Party,False
[CLS] Peter Sinclair is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] John Dallat:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],K K K K K,Social Democratic and Labour Party | SDLP:3 | Social Democratic and Labour Party | UK Social Democratic and Labour Party,False
[CLS] Linda Fabiani:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Social Party,Scottish National Party | SNP | Scottish National Party,False
[CLS] Sándor Farkas:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],U . S .,Fidesz:3 | Fidesz:3 | Fidesz:3 - Magyar Polgári:2 Szövetség:2 - Keresztény:4 Demokrata:3 Néppárt:3,False
[CLS] José Varela Fernández is a member of the [MASK] [MASK] political party . [SEP],PNV:2,Popular Democratic Party | PPD:2 | Popular Democratic Party,False
[CLS] C . P . Subbiah:3 Mudaliar:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],C . P .,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] Eduardo Doryan:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],E . P .,National Liberation Party | National Liberation Party,False
[CLS] Art Torres is a member of the [MASK] [MASK] [MASK] political party . [SEP],Ar Ar Ar,Democratic Party | Democrat | Democratic Party | Democratic Party ( United States ) | Democratic Party of the United States | Democrats | Dems:2 | United States Democratic Party,False
[CLS] Amitesh:3 Shukla:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],K K K,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] Ruedi:2 Lustenberger:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social - Social,Christian Democratic People ' s Party | CVP:2 | Christian Democratic People ' s Party | Christian Democratic People ' s Party of Switzerland | PDC:2 | PPD:2,False
[CLS] Akira Nishino:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Yamagata:3,New Frontier Party | NFP:2 | New Frontier Party | New Progressive Party | Shinshintō:3,False
[CLS] Robert Weld:2 Mitchell is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Progressive Conservative Party of Canada | Progressive Conservative Party of Canada,False
[CLS] Honoré Achim:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Achim:3,Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] William A . Wilkins is a member of the [MASK] [MASK] political party . [SEP],United States,Labour Party | Labour | Labour Party | Labour Party ( UK ),False
[CLS] Gaspar Zarrías:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Democratic Party,Spanish Socialist Workers ' Party | PSOE | Partido Socialista Obrero:2 Español | Spanish Socialist Workers ' Party,False
[CLS] Edmund Stoiber:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],L . A .,Christian Social Union of Bavaria | CSU | CSU ( DE ) | Christian Social Union in Bavaria | Christian Social Union of Bavaria | Christlich:2 - Soziale:2 Union,False
[CLS] Arthur Maloney:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Progressive Conservative Party of Canada | Progressive Conservative Party of Canada,False
[CLS] Joseph Martin is a member of the [MASK] [MASK] [MASK] political party . [SEP],K K K,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Rafael Paasio:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Communist Party of Peru,Social Democratic Party of Finland | Finlands Socialdemokratiska:5 Parti | SDP | Social Democratic Party of Finland | Suomen Sosialidemokraattinen:6 Puolue:3 | demarit:3,False
[CLS] John Tory:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],John Tory:2,Progressive Conservative Party of Ontario | Ontario Progressive Conservative Party | Parti progressiste:2 - conservateur de l ' Ontario | Progressive Conservative Party of Ontario | Tories:2,False
[CLS] Harry Andrew Moore is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Progressive Conservative Party of Canada | Progressive Conservative Party of Canada,False
[CLS] Amanda Vanstone:2 is a member of the [MASK] [MASK] political party . [SEP],United States,Liberal Party of Australia | Lib:2 | Liberal Party of Australia,False
[CLS] Gabriel Loubier:2 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Union Nationale | Union Nationale,False
[CLS] Władysław Lizoń:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Poland,Conservative Party of Canada | Conservative Party of Canada | Parti conservateur du Canada | Tories:2,False
[CLS] Marek Rocki:2 is a member of the [MASK] [MASK] political party . [SEP],Rocki:2,Civic Platform | Civic Platform | Platforma:2 Obywatelska:4,False
[CLS] Jean Dubuc:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Démoc:3,Quebec Liberal Party | PLQ:2 | Parti liberal du Quebec | Parti libéral du Québec | Quebec Liberal Party,False
[CLS] Li Jishen:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of China,Kuomintang:3 | Chinese Nationalist:2 Party | GMD:2 | Guomindang:3 | KMT:2 | Kuomintang:3 | Kuomintang:3 of China,False
[CLS] Ad Melkert:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],K K K K K,Labour Party | Labour Party | Partij van de Arbeid:3 | PvdA:3,False
[CLS] John Ewasew:3 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] Hilde:2 Houben:2 - Bertrand is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,Christian Democratic and Flemish:3 | CD & V | Christen - Democratisch:2 en Vlaams | Christian Democratic and Flemish:3,False
[CLS] Joanne Benson is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Republican Party of Minnesota | Independent - Republican Party | Independent - Republican Party of Minnesota | Minnesota GOP:2 | Minnesota Republican Party | Republican Party of Minnesota,False
[CLS] Terry Donahoe:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Progressive Conservative Association of Nova Scotia | Progressive Conservative Association of Nova Scotia | Progressive Conservative Party of Nova Scotia,False
[CLS] Thomas Robertson is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Nova Scotia Liberal Party | Grits:2 | Liberal Party of Nova Scotia | Nova Scotia Liberal Party,False
[CLS] Ricardo Balbín:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],P . P .,Radical Civic Union | Finado:2 partido Unión Cívica:3 Radical | Radical Civic Union | UCR:2 | Union Civica:2 Radical,False
[CLS] Ed Fulton is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Ontario Liberal Party | Grits:2 | Liberal Party of Ontario | Ontario Liberal Party,False
[CLS] Paul Crittenden:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],New New New New New,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Agar:2 Rodney Adamson:2 is a member of the [MASK] [MASK] political party . [SEP],United States,Progressive Conservative Party of Canada | Progressive Conservative Party of Canada,False
[CLS] Len Webber is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Lords,Progressive Conservative Association of Alberta | Alberta Progressive Conservative Party | Progressive Conservative Association of Alberta | Progressive Conservative Party of Alberta | Tories:2,False
[CLS] Andrzej Gołaś:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Poland,Civic Platform | Civic Platform | Platforma:2 Obywatelska:4,False
[CLS] Stewart Maxwell is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Scottish National Party | SNP | Scottish National Party,False
[CLS] Mikalay:2 Dzyemyantsyey:6 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Nakhtiari:4,Communist Party of the Soviet Union | Bolshevik:3 Party | CPSU:2 | Communist Party of the Soviet Union | RCP:2 ( b ) | Russian Communist Party ( Bolsheviks:4 ),False
[CLS] Giriraj:3 Poddar:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Bharatiya:4 Janata:2 Party | BJP:3 | Bharatiya:4 Janata:2 Party,False
[CLS] Wacław:3 Frankowski:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],party - party,Polish Workers ' Party | Polish Workers ' Party,False
[CLS] Allen Trimble:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Federalist:2 Party | Federalist:2 Party | Pro - Administration Party,False
[CLS] Floyd M . Baker is a member of the [MASK] [MASK] [MASK] political party . [SEP],Greensboro:3,Alberta Social Credit Party | Alberta Social Credit Party,False
[CLS] Cristian Castaño:2 Contreras is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Democratic Party,National Action Party | National Action Party | PAN | Partido Accion:2 Nacional | Partido Acción Nacional,False
[CLS] Apiwan:3 Wiriyachai:4 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Pheu:2 Thai Party | For Thais:2 Party | PTP:2 | Pheu:2 Thai Party,False
[CLS] Donald Archibald is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Nova Scotia Liberal Party | Grits:2 | Liberal Party of Nova Scotia | Nova Scotia Liberal Party,False
[CLS] Qu Qiubai:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of China,Communist Party of China | CCP:2 | CPC:2 | Chinese Communist Party | Communist Party of China | TG:2,False
